time, reward, action, observation
65, -0.8580306245185338, 0, [ 0.8580306  1.6078357  2.148218  65.       ]
66, -1.0595390831247857, 0, [ 1.0595391  0.8580306  1.6078357 66.       ]
67, -1.4740895021233393, 0, [ 1.4740895  1.0595391  0.8580306 67.       ]
68, -201.3383385279787, 1, [ 1.3383385  1.4740895  1.0595391 68.       ]
69, -1.0566468275866292, 0, [ 1.0566468  1.3383385  1.4740895 69.       ]
70, -200.28798595725976, 1, [ 0.28798595  1.0566468   1.3383385  70.        ]
71, -0.3603735177366597, 0, [-0.36037353  0.28798595  1.0566468  71.        ]
72, -0.44223208049870555, 0, [-0.44223207 -0.36037353  0.28798595 72.        ]
73, -0.7039875541270872, 0, [-0.70398754 -0.44223207 -0.36037353 73.        ]
74, -200.74685171274757, 1, [-0.74685174 -0.70398754 -0.44223207 74.        ]
75, -200.74473087980672, 1, [-0.7447309  -0.74685174 -0.70398754 75.        ]
76, -0.6882370294549696, 0, [-0.688237   -0.7447309  -0.74685174 76.        ]
77, -1.439547388546366, 0, [-1.4395474 -0.688237  -0.7447309 77.       ]
78, -2.158294851802029, 0, [-2.158295  -1.4395474 -0.688237  78.       ]
79, -3.160490581483595, 0, [-3.1604905 -2.158295  -1.4395474 79.       ]
80, -3.5199546489475444, 0, [-3.5199547 -3.1604905 -2.158295  80.       ]
81, -203.3995754941926, 1, [-3.3995755 -3.5199547 -3.1604905 81.       ]
82, -3.014748796738296, 0, [-3.0147488 -3.3995755 -3.5199547 82.       ]
83, -201.7085979913041, 1, [-1.708598  -3.0147488 -3.3995755 83.       ]
84, -201.38303631446678, 1, [-1.3830363 -1.708598  -3.0147488 84.       ]
85, -1.4233750990586673, 0, [-1.4233751 -1.3830363 -1.708598  85.       ]
86, -1.3599299971691259, 0, [-1.35993   -1.4233751 -1.3830363 86.       ]
87, -201.13320449512426, 1, [-1.1332045 -1.35993   -1.4233751 87.       ]
88, -1.4486322671582113, 0, [-1.4486322 -1.1332045 -1.35993   88.       ]
89, -201.03685984008163, 1, [-1.0368599 -1.4486322 -1.1332045 89.       ]
